statisticalID,name,partOf,code,physicalType
CT-264,IBANDA MUNICIPALITY,Location/417,ADMIN_STRUCTURE,Jurisdiction
CT-265,BUKANGA COUNTY,Location/418,ADMIN_STRUCTURE,Jurisdiction
CT-266,BUKANGA NORTH COUNTY,Location/418,ADMIN_STRUCTURE,Jurisdiction
CT-267,ISINGIRO COUNTY,Location/418,ADMIN_STRUCTURE,Jurisdiction
CT-268,ISINGIRO WEST COUNTY,Location/418,ADMIN_STRUCTURE,Jurisdiction
CT-269,KASHONGI COUNTY,Location/419,ADMIN_STRUCTURE,Jurisdiction
CT-270,NYABUSHOZI COUNTY,Location/419,ADMIN_STRUCTURE,Jurisdiction
CT-271,BUHWEJU COUNTY,Location/420,ADMIN_STRUCTURE,Jurisdiction
CT-272,BUHWEJU WEST COUNTY,Location/420,ADMIN_STRUCTURE,Jurisdiction
CT-273,KIBANDA NORTH COUNTY,Location/421,ADMIN_STRUCTURE,Jurisdiction
CT-274,KIBANDA SOUTH COUNTY,Location/421,ADMIN_STRUCTURE,Jurisdiction
CT-275,KYAKA CENTRAL COUNTY,Location/422,ADMIN_STRUCTURE,Jurisdiction
CT-276,KYAKA NORTH COUNTY,Location/422,ADMIN_STRUCTURE,Jurisdiction
CT-277,KYAKA SOUTH COUNTY,Location/422,ADMIN_STRUCTURE,Jurisdiction
CT-278,RUHINDA COUNTY,Location/423,ADMIN_STRUCTURE,Jurisdiction
CT-279,RUHINDA NORTH COUNTY,Location/423,ADMIN_STRUCTURE,Jurisdiction
CT-280,RUHINDA SOUTH COUNTY,Location/423,ADMIN_STRUCTURE,Jurisdiction
CT-281,NTOROKO COUNTY,Location/424,ADMIN_STRUCTURE,Jurisdiction
CT-282,BUNYARUGURU COUNTY,Location/425,ADMIN_STRUCTURE,Jurisdiction
CT-283,KATERERA COUNTY,Location/425,ADMIN_STRUCTURE,Jurisdiction
CT-284,SHEEMA COUNTY,Location/426,ADMIN_STRUCTURE,Jurisdiction
CT-285,SHEEMA MUNICIPALITY,Location/426,ADMIN_STRUCTURE,Jurisdiction
CT-286,BUYAGA EAST COUNTY,Location/427,ADMIN_STRUCTURE,Jurisdiction
CT-287,BUYAGA WEST COUNTY,Location/427,ADMIN_STRUCTURE,Jurisdiction
CT-288,BUGANGAIZI EAST COUNTY,Location/428,ADMIN_STRUCTURE,Jurisdiction
CT-289,BUGANGAIZI SOUTH COUNTY,Location/428,ADMIN_STRUCTURE,Jurisdiction
CT-290,BUGANGAIZI WEST COUNTY,Location/428,ADMIN_STRUCTURE,Jurisdiction
CT-291,RUBANDA COUNTY,Location/429,ADMIN_STRUCTURE,Jurisdiction
CT-292,RUKIGA COUNTY,Location/430,ADMIN_STRUCTURE,Jurisdiction
CT-293,BUNYANGABU COUNTY,Location/431,ADMIN_STRUCTURE,Jurisdiction
CT-294,BUHAGUZI COUNTY,Location/432,ADMIN_STRUCTURE,Jurisdiction
CT-295,BUHAGUZI EAST COUNTY,Location/432,ADMIN_STRUCTURE,Jurisdiction
CT-296,KAZO COUNTY,Location/433,ADMIN_STRUCTURE,Jurisdiction
CT-297,KITAGWENDA COUNTY,Location/434,ADMIN_STRUCTURE,Jurisdiction
CT-298,RWAMPARA COUNTY,Location/435,ADMIN_STRUCTURE,Jurisdiction
CT-299,RWAMPARA EAST COUNTY,Location/435,ADMIN_STRUCTURE,Jurisdiction
CT-300,FORT PORTAL CENTRAL DIVISION,Location/436,ADMIN_STRUCTURE,Jurisdiction
CT-301,FORT PORTAL NORTH DIVISION,Location/436,ADMIN_STRUCTURE,Jurisdiction
CT-302,MBARARA NORTH DIVISION,Location/437,ADMIN_STRUCTURE,Jurisdiction
CT-303,MBARARA SOUTH DIVISION,Location/437,ADMIN_STRUCTURE,Jurisdiction
